,Unnamed: 0,category,text
2601,2601,RESTAURANT#NEGATIVE,"Overall, this may be a good place to check out if you and the squad are nursing a hangover on a Sunday morning, but I wouldn't go here otherwise."
2023,2023,LOCATION#POSITIVE,Love love love the decor and food presentation.
200,200,SERVICE#POSITIVE,Her service was worth 5 stars.
7545,7545,SERVICE#NEGATIVE,"Despite the arm and leg you have to offer to be seated at this establishment, I'd have to say the food is to die for."
9698,9698,QUALITY#POSITIVE,The French toast was also good--light and fluffy (with a good flavor).
8545,8545,RESTAURANT#POSITIVE,Simply beautiful experience.
5866,5866,PRICE#POSITIVE,All really good - especially for the price.
2729,2729,RESTAURANT#NEGATIVE,"fucked up my breakfast experience.. bad service slow service, others came after us and ate and finished before I got my meal."
460,460,SERVICE#POSITIVE,"I know that we don't go to  buffet and expect good service, but if we already paid 18% gratuity, I expected the service to be 18% worth."
2779,2779,RESTAURANT#NEGATIVE,Bottom line - not worth the money or the hype...unless you love Asian food.
8311,8311,RESTAURANT#POSITIVE,i love the Wynn buffet!
1580,1580,LOCATION#NEGATIVE,lotus of siam is located south of the strip in a sketchy looking plaza.
325,325,SERVICE#POSITIVE,The steaks were perfect and the service was also perfect.
11037,88,RESTAURANT#POSITIVE,Go hungry and enjoy.
5556,5556,PRICE#POSITIVE,"It's your basic in casino restaurant, a cheapish place to grab a bit after you just lost your mortgage payment I guess."
11714,793,RESTAURANT#NEGATIVE,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
3475,3475,FOOD#POSITIVE,"Bread pudding, I do love my bread pudding, and this place does a kickass job especially for a buffet."
2645,2645,RESTAURANT#NEGATIVE,This was my favorite buffet and it went downhill from the last time I went.
4361,4361,FOOD#POSITIVE,Left with food coma... hehe
4856,4856,FOOD#POSITIVE,There was a nice variety of items and we loved the plethora of dessert options as well.
5110,5110,FOOD#POSITIVE,"I mean, I've been to Thailand, gone to a Thai cooking class, and eaten every kind of street food there and Lotus of Siam was essentially the same thing minus the plane flight."
10469,10469,QUALITY#POSITIVE,"(Drooling) The price is pretty reasonable for its deliciousness & in the city, however the portions are smaller than the usual Thai restaurants I go to."
9087,9087,RESTAURANT#POSITIVE,Other than that we always look forward coming to Bacchanal when we can.
4222,4222,FOOD#POSITIVE,"My friends got the ""Caprese"" sandwich and I got the ""Veggie"" sandwich and they were both SO good."
2245,2245,LOCATION#POSITIVE,"The ambiance is still the same, great views of the strip and the people walking by (who needs to pay $75 for a show when you can see a guy dressed like a knock off Woody the Cowboy walk by?)."
2193,2193,LOCATION#POSITIVE,"The atmosphere is great, they do a good job of pulling off the French bistro feel."
7434,7434,SERVICE#NEGATIVE,"Given the price, and the average 30 minutes of wait just for food to arrive, I would NOT recommend this place."
3904,3904,FOOD#POSITIVE,But what made this a 4 star review was the Gelato Bar.
7786,7786,FOOD#NEGATIVE,"Going through the photos others have provided, there were many items I see that were not available when we went."
9109,9109,RESTAURANT#POSITIVE,If you're in Las Vegas you should make this one of your stops.
420,420,SERVICE#POSITIVE,"It beats every place in both cali and nevada 
The staff is friendly and efficient."
974,974,PRICE#NEGATIVE,"Have been going to this place for years, I'm sad that they have done away with the all you can eat lunch buffet because ordering off the menu can get a little pricey, but the food is always delicious!"
5203,5203,FOOD#POSITIVE,Burgers: Good but not amazing.
7275,7275,SERVICE#NEGATIVE,"I gave it 4 stars because of a few things, lack of bbq sauce at rib station, and often running out of desserts."
7636,7636,FOOD#NEGATIVE,"If I had one wish, it would be a wider array of ethnic cuisines."
9681,9681,QUALITY#POSITIVE,Nothing was really notable except for these crazy cheese puffs (which I ate several bowls of the way one eats a bowl of cereal).
710,710,SERVICE#POSITIVE,The service was super quick and in no time we were gorging on the food :) The portions were huge and the presentation...OHH my my!!!
11191,246,QUALITY#NEGATIVE,Tiny dessert was $8.00...just plain overpriced for what it is.
7438,7438,SERVICE#NEGATIVE,"Finally, they couldn't even manage to get the dishes out together for a party of two."
2133,2133,LOCATION#POSITIVE,Right outside the Paris hotel and next to Miracle Mile.
10794,10794,QUALITY#POSITIVE,"The frozen hot chocolate was delicious, but the service was kind of slow and not really attentive."
1785,1785,LOCATION#POSITIVE,This was a gorgeous restaurant in Paris casino.It had a wonderful patio that was great for people watching and the food was second to none.
9713,9713,QUALITY#POSITIVE,"However, if you want to sample a number of different items, want some quality with your quantitiy, want to stuff yourself on nothing but crab legs and shrimp, desire a fairly nice setting, don't mind the wait, and are stuck on the Strip, then the Wynn buffet is a serious consideration."
9050,9050,RESTAURANT#POSITIVE,My wife and I are not big buffet fan but The Buffet at Wynn is really good!
1512,1512,PRICE#NEGATIVE,If you want better food for a synonymous price go to the Wolfgang Puck cafe at the MGM.
5312,5312,FOOD#POSITIVE,"At the Mexican food station, there were several types of salsa, hot sauces, and guacamole for eggs, which I thought was great."
9528,9528,RESTAURANT#POSITIVE,This place is a must go eat!
12432,1531,SERVICE#POSITIVE,Everyone was more then happy with his choices.
7844,7844,FOOD#NEGATIVE,"Anyway, the food was mediocre at best, but the choices were so slim I was shocked."
11691,770,RESTAURANT#POSITIVE,This was a great surprise.
1084,1084,PRICE#NEGATIVE,"It's now $35, which is a bit steep if I'm not guaranteed amazing food."
354,354,SERVICE#POSITIVE,"Good food, good service and a lot of fun."
11259,318,QUALITY#POSITIVE,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
10218,10218,QUALITY#POSITIVE,"- Lives up to its ""gourmet burger"" category but also has some other offerings for people who don't want burgers: lots of choices with really interesting ingredients that can cater to almost any flavor craving."
8096,8096,FOOD#NEGATIVE,The food is to die for.
9223,9223,RESTAURANT#POSITIVE,This is a definite stop for me when I am in Vegas.
6086,6086,QUALITY#NEGATIVE,"Avoid the variety of fishes near the Chinese food though, because these are usually dry."
1101,1101,PRICE#NEGATIVE,The tab went from $65 to $85 quickly.
2203,2203,LOCATION#POSITIVE,"The hotel itself is beautiful, if you have never been here, it's a must to visit!!"
1227,1227,PRICE#NEGATIVE,"For the value of your money, it's not worth it."
9766,9766,QUALITY#POSITIVE,"The view from the patio, great customer service and delicious French inspired food combine for an all around amazing experience!"
1649,1649,LOCATION#NEGATIVE,"The restaurant itself is fairly small in Vegas standards, so be prepared."
9310,9310,RESTAURANT#POSITIVE,"The wait for this buffet can be up to an hour, but trust me it's actually worth it."
972,972,PRICE#NEGATIVE,It is like 86 for too people that is crazy.
10381,10381,QUALITY#POSITIVE,I know it's simple but the chicken noodle soup is a must try.
8497,8497,RESTAURANT#POSITIVE,I look forward to dinner here every time I go to Vegas.
3854,3854,FOOD#POSITIVE,I was full within 3 dishes but they offer a great selection of food with GOOD quality as well.
5889,5889,PRICE#POSITIVE,prices are very decent for the portion sizes!
2085,2085,LOCATION#POSITIVE,"I thought this place was a lot of fun, I thought the decor was awesome and I really enjoyed the service, it was very comfortable and professional without being stuckup."
3653,3653,FOOD#POSITIVE,The decor and lighting in the area was great (just like the rest of the hotel) and the overall taste of the food was satisfying.
6531,6531,QUALITY#NEGATIVE,"The presentation and plating at this buffet were great, although most of the food looked better than it tasted."
4728,4728,FOOD#POSITIVE,We started with a glass of wine at the bar - by the way they are a Wine Spectator Restaurant Award winner.
3345,3345,FOOD#POSITIVE,"You can enjoy lot of ethnic foods, from Chinese to Indian, as befits a hotel that draws visitors from all over the globe."
6970,6970,SERVICE#NEGATIVE,"I was starving, having walked down the strip for something like half an hour (I swear, everything in Vegas is deceptively far away) then waited in line for another half hour."
3625,3625,FOOD#POSITIVE,"My second visit here, Food was good, nice patio seating area."
4490,4490,FOOD#POSITIVE,"Yes there is a ""caviar"" bar but just know it is not real caviar, but still tasty."
10886,10886,QUALITY#POSITIVE,The burgers are obviously delicious and there are plenty to choose from-including non beef items.
6648,6648,QUALITY#NEGATIVE,They had crab claws which were not good.
11284,346,LOCATION#POSITIVE,The place's decor and hidden bathrooms made for a good laugh.
4681,4681,FOOD#POSITIVE,"The portion of the food is ridiculously big, but in a good way!!"
3728,3728,FOOD#POSITIVE,The mashed potatoes alone can have their own septet ate review of awesomeness.
3221,3221,RESTAURANT#NEGATIVE,Not a bad brunch for $35... but once is probably enough.
6245,6245,QUALITY#NEGATIVE,The food doesn't even look appetizing to start with.
12072,1161,FOOD#NEGATIVE,"The fish was adequate, but inexpertly sliced."
10100,10100,QUALITY#POSITIVE,Interior: signs and many awards of the glorious food.
1597,1597,LOCATION#NEGATIVE,"We got seated right in front of Bellagio's water fountain inside, but unluckily, it started to rain so people outside have to kind of scoot the table in and ours were getting splashed by the umbrellas :[ 
I had one of the steak dish, it was cooked medium rare just like how I ordered, but it was a bit heavy on the salt."
6353,6353,QUALITY#NEGATIVE,"Use to be the BEST in town
Now the FIRST PLACE is BACCHANAL at caesar palace
I do not recommend anymore the buffet
You would be dIsappointed
We could have thought that after beeing so good they would have make a special effort at the apperance of bacchanal
It is the contruary
Chinese food is not varied and no good
Meat is very poor
Pizzas are awfull
Salads and vegetables with no taste
Deserts are a désolation
Ice cream a joke 
Used to be a huge fan no more !!"
8930,8930,RESTAURANT#POSITIVE,I would hasten to add that as far buffets go it was really good; as good or better than Bellagio's.
9802,9802,QUALITY#POSITIVE,their seafood drunken noodle & pad thai was HELLA good and i just have no complaints....except for the ghetto plaza its located in.
11817,899,LOCATION#POSITIVE,"Everything was wonderful; food, drinks, staff, mileau."
11600,674,FOOD#POSITIVE,"The quantity is also very good, you will come out satisfied."
9260,9260,RESTAURANT#POSITIVE,Overall good!
7124,7124,SERVICE#NEGATIVE,"He asked me what choice of meat I wanted I told him and then he didn't repeat back what I wanted so I repeated it a second time to remind him and he then copped an attitude and said "" I Heard you man you don't got to tell me twice"" and I was like woah, this guy is pissed."
2879,2879,RESTAURANT#NEGATIVE,"Normally you would think of a buffet as serving sub-par, dried-out food that has been sitting under the heat lamp for hours."
11623,700,QUALITY#POSITIVE,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious."
11096,148,SERVICE#POSITIVE,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story."
2164,2164,LOCATION#POSITIVE,The view of the Bellagio Fountains is a nice backdrop.
475,475,SERVICE#POSITIVE,Service was awesome!
12391,1489,QUALITY#POSITIVE,"In an area sadly lacking in decent Thai food, this is one of the best spots."
11927,1013,SERVICE#POSITIVE,"Service here was great, food was fantastic."
3591,3591,FOOD#POSITIVE,Terrific choices in cheese all which i purchase from my local market here in sf and arent cheap.
8770,8770,RESTAURANT#POSITIVE,Thank you Caesars.
4388,4388,FOOD#POSITIVE,So my take is:  If you're vegetarian or lactose intolerant... or both... then this is not a great buffet for the price.
8123,8123,FOOD#NEGATIVE,"For the price around 8:15 pm, there was no crawfish or lobster & no cooked fish."
7125,7125,SERVICE#NEGATIVE,Then we were finally escorted to our table and were waited on by a waiter who seem very nonchalant and uninterested in serving us.
9280,9280,RESTAURANT#POSITIVE,This restaurant is located inside Paris Hotel and it was a great experience.
2342,2342,LOCATION#POSITIVE,"Great place the burgers and onion rings tasted great.Our server was wonderful,she helped us decide on what certain type of food she liked to eat with her husband..The restaurant was clean..."
100,100,SERVICE#POSITIVE,"Once we paid, we were seated shortly after and to our liking, right next to the buffet food."
9482,9482,RESTAURANT#POSITIVE,"So here we go, the buffet at the Bellagio... the long awaited review for one of my favorite buffets of all time!"
2678,2678,RESTAURANT#NEGATIVE,"Lots of other good breakfast places on the strip, avoid this one!"
1300,1300,PRICE#NEGATIVE,"When we finally did get into the restaurant, I ordered the steak and egg sandwich, again very pricey."
2122,2122,LOCATION#POSITIVE,Friendly service and very clean I rate this place at 3.5 stars.
12253,1347,FOOD#POSITIVE,The shrimp scampi was excellent and the antipasti were plentiful.
6288,6288,QUALITY#NEGATIVE,"The sponge part (the sticky toffee part) was very authentic, but the ""salted peanut"" ice cream was not good at all - it really didn't taste of anything outside of icy milk."
4000,4000,FOOD#POSITIVE,"There's an area for Asian cuisine, which things such as dim sum & dumplings, an area for American\/Italian food with stuff such as fried chicken and fries in cute little waffle ice cream cones!"
4403,4403,FOOD#POSITIVE,A wide variety of quality food including deserts.
3556,3556,FOOD#POSITIVE,Learned about it thru the Yelp reviews and super glad we were able to check this spot out...Amazingly huge portions that the food lasted us for three days and don't worry about the wait once you get there.
2749,2749,RESTAURANT#NEGATIVE,I am not getting what the rave is about....
9858,9858,QUALITY#POSITIVE,"As soon as I grabbed the warm bag in my hand, I knew I was in for a toasty treat!"
12439,1538,QUALITY#POSITIVE,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
4212,4212,FOOD#POSITIVE,I would definitely recommend this restaurant for Brunch on the patio or any meal of the day!
7040,7040,SERVICE#NEGATIVE,"Then, the server arrived and left us with a tablet to look at the drink menu."
6926,6926,SERVICE#NEGATIVE,Burger came with everything I requested not to put on it.
2992,2992,RESTAURANT#NEGATIVE,"My fiancé and I had went to Wicked Spoon a few years and it was my favorite buffet in Vegas at the time, but it has gone downhill since then."
9846,9846,QUALITY#POSITIVE,There were many selections that I loved and basically this was my meal.
4700,4700,FOOD#POSITIVE,"I'll admit - this is my first Vegas buffet, but damn, everything I put into my mouth was amazing."
2102,2102,LOCATION#POSITIVE,I really like the atmosphere here.
4362,4362,FOOD#POSITIVE,"Well most of their portions are huge so thing about sharing, or possibly taking some of it home."
